Classement des meilleurs troisièmes;;;;;;;;;;;;;
Les 8 meilleurs troisièmes sont qualifiés pour les phases finales.;;;;;;;;;;;;;
;;;;;;;;;;;;;
Rang;Équipe;Groupe;J;G;N;P;Bp;Bc;Dif.;PFP;Pts;FORME;Statut
1;RD Congo;Groupe K;3;1;1;1;4;3;1;;4;-;Qualifié
2;Suède;Groupe F;3;1;1;1;7;7;0;;4;-;Qualifié
3;Ghana;Groupe L;3;1;1;1;2;2;0;;4;-;Qualifié
4;Équateur;Groupe E;3;1;1;1;2;2;0;;4;-;Qualifié
5;Bosnie-Herzégovine;Groupe B;3;1;1;1;5;6;-1;;4;-;Qualifié
6;Algérie;Groupe J;3;1;1;1;5;7;-2;;4;-;Qualifié
7;Paraguay;Groupe D;3;1;1;1;2;4;-2;;4;-;Qualifié
8;Sénégal;Groupe I;3;1;0;2;8;6;2;;3;-;Non qualifié
9;Iran;Groupe G;3;0;3;0;3;3;0;;3;-;Non qualifié
10;Corée du Sud;Groupe A;3;1;0;2;2;3;-1;;3;-;Non qualifié
11;Écosse;Groupe C;3;1;0;2;1;4;-3;;3;-;Non qualifié
12;Uruguay;Groupe H;3;0;2;1;3;4;-1;;2;-;Non qualifié
